date,description,category,amount
2024-07-01T18:00:00Z,Whole Foods (~8 meals and weeks bread/milk),Groceries,50.37
2024-07-01T18:00:00Z,Yifang ,Eating out/DoorDash,6.25
2024-07-01T18:00:00Z,Bike parts,Transport,76
2024-07-01T18:00:00Z,Cheap rotors,Transport,8
2024-07-01T18:00:00Z,Floss and toilet cleaner,House,11
2024-07-02T18:00:00Z,Coffee and croissant,Eating out/DoorDash,12.84
2024-07-02T18:00:00Z,Lyft to cage the elephant ,Transport,8
2024-07-03T18:00:00Z,Clothes steamer ,House,23
2024-07-04T18:00:00Z,Trader Joe’s,Groceries,53
2024-07-06T18:00:00Z,Bus to chase,Transport,3
2024-07-06T18:00:00Z,Pizza chase,Eating out/DoorDash,14
2024-07-06T18:00:00Z,Lyft home from chase,Transport,15
2024-07-07T18:00:00Z,Trader Joe’s,Groceries,48
2024-07-07T18:00:00Z,Bangkok Thai chicken fried rice,Eating out/DoorDash,19
2024-07-08T18:00:00Z,Paper towels,House,14
2024-07-09T18:00:00Z,Mainoo 26,Shopping,23
2024-07-14T18:00:00Z,Trader Joe’s,Groceries,45
